Time,Acel X,Acel Y,Acel z,Gyro X,Gyro Y,Gyro Z
1661111691.325908,11656,8744,9796,78,-754,-141
1661111691.436487,11544,8436,9512,311,-536,-159
1661111691.546886,11704,9028,9208,1675,-3828,-1139
1661111691.657471,11916,8952,8664,-26,-681,-146
1661111691.768169,12128,8984,8576,166,-428,-230
1661111691.874678,12020,8996,8380,112,-441,-236
1661111691.989439,11664,8980,8488,71,-192,-236
1661111692.100153,12492,9224,8188,141,292,40
1661111692.210723,12268,9124,8384,-109,960,261
1661111692.321122,11928,8960,8584,-254,1991,772
1661111692.42782,12232,8764,8992,-127,2325,523
1661111692.542589,12028,8916,9720,-695,5680,1045
1661111692.653016,11068,8544,10868,-535,4492,-138
1661111692.76371,10324,8368,11620,-1798,5576,-248
1661111692.87404,8996,8276,13224,-1800,6474,-777
1661111692.984665,6984,6840,13452,2260,7080,-1642
1661111693.095273,7444,7340,13532,-1032,4802,-1255
1661111693.201708,5244,7768,15020,-449,7157,-2220
1661111693.316451,9904,18112,27500,-1517,7542,-2724
1661111693.427062,1100,7456,16748,-7320,7828,-4253
1661111693.538362,248,5156,17096,-2022,8970,787
1661111693.648225,-4644,5640,17584,-2379,12941,3354
1661111693.758751,-3504,4128,15968,-2271,6618,510
1661111693.869563,-4732,4624,17080,-1731,2789,-2295
1661111693.980155,-3092,4188,15144,-1321,5458,3802
1661111694.090748,-6228,3384,16088,-3488,189,1485
1661111694.197029,-4904,5544,18348,-2791,3212,-1388
1661111694.307669,-6300,6316,19200,6820,8444,-3891
1661111694.422378,-12464,1740,15604,-4079,4068,-1028
1661111694.532753,-9228,2996,14732,-1517,2635,-1323
1661111694.639527,-10224,1920,14584,-1929,223,-553
1661111694.754295,-9900,2580,13892,3867,10053,3075
1661111694.86071,-7640,-3040,7476,7317,1356,4746
1661111694.971585,-11848,3044,12948,-176,4916,4933
1661111695.08172,-10836,3692,12552,998,1424,2775
1661111695.188086,-11776,4040,12132,1417,793,955
1661111695.29906,-11856,5064,12728,154,871,3527
1661111695.409331,-9464,6276,11820,-2579,-1594,2218
1661111695.520252,-11204,3784,11664,-5182,5709,2253
1661111695.626243,-12784,3852,11632,-2093,5564,1823
1661111695.740995,-12652,3844,10472,-463,3755,1004
1661111695.8476,-12584,4236,10184,1679,4433,1630
1661111695.962482,-13368,4016,9352,-640,-110,726
1661111696.077283,-13384,4304,9332,773,2027,102
1661111696.187669,-13544,4136,9292,837,-1247,201
1661111696.29844,-14136,5380,9784,2000,-522,-583
1661111696.408699,-13864,4436,8704,983,-1327,-697
1661111696.519559,-13372,4912,8928,2126,-440,-1088
1661111696.630126,-14076,5344,9476,774,-1256,-268
