Time,Acel X,Acel Y,Acel z,Gyro X,Gyro Y,Gyro Z
1661112540.640795,-13272,2288,-9316,83,153,-36
1661112540.751363,-13240,2252,-9220,76,176,-6
1661112540.861671,-13288,2276,-9276,93,210,-27
1661112540.972855,-13280,2284,-9272,94,153,-22
1661112541.083103,-13240,2260,-9292,35,182,7
1661112541.197633,-13196,2256,-9336,92,145,-74
1661112541.304713,-13316,2204,-9352,184,163,-112
1661112541.411008,-13308,2280,-9328,61,197,-22
1661112541.521389,-13312,2248,-9316,55,143,-25
1661112541.632213,-13312,2208,-9304,188,116,-123
1661112541.742791,-13204,2256,-9372,-35,107,154
1661112541.853515,-13208,2308,-9188,36,88,78
1661112541.963664,-13176,2332,-9436,-41,146,303
1661112542.07447,-13268,2460,-9148,15,226,178
1661112542.184939,-13216,2448,-9208,22,83,148
1661112542.291307,-13300,2564,-9100,16,19,115
1661112542.402013,-13092,2592,-9056,262,62,-226
1661112542.512317,-13332,2424,-9304,335,43,-378
1661112542.618837,-13392,2408,-9120,338,79,-296
1661112542.729145,-13252,2340,-9264,47,217,-31
1661112542.844325,-13284,2292,-9104,106,173,-164
1661112542.950453,-13308,2272,-9264,139,133,-67
1661112543.060891,-13368,2380,-9184,8,176,119
1661112543.171793,-13320,2436,-9304,92,136,-27
1661112543.282255,-13272,2360,-9236,119,148,-88
1661112543.393616,-13256,2344,-9148,31,146,-29
1661112543.504094,-13304,2356,-9168,59,167,-32
1661112543.614133,-13316,2368,-9280,102,132,-74
1661112543.724682,-13428,2348,-9148,222,182,-125
1661112543.831625,-13248,2364,-9212,140,184,-49
1661112543.941932,-13344,2276,-9224,171,151,-103
1661112544.052545,-13388,2200,-9232,112,193,-69
1661112544.158924,-13284,2284,-9120,62,174,55
1661112544.269596,-13316,2284,-9240,86,174,-44
1661112544.380565,-13316,2336,-9336,81,185,-16
1661112544.49036,-13400,2276,-9312,144,160,-109
1661112544.605094,-13308,2268,-9244,91,145,-49
1661112544.712273,-13296,2328,-9088,-3,76,59
1661112544.822256,-13384,2380,-9152,41,130,34
1661112544.933282,-13344,2332,-9152,112,135,-59
1661112545.039307,-13400,2368,-9100,145,262,-145
1661112545.149911,-13316,2280,-9236,264,313,-225
1661112545.256483,-13244,2240,-9192,49,196,18
1661112545.371243,-13352,2292,-9176,185,181,-128
