Time,Acel X,Acel Y,Acel z,Gyro X,Gyro Y,Gyro Z
1661112149.832097,-13568,1172,-8964,80,172,8
1661112149.942951,-13536,1168,-8880,79,169,-42
1661112150.053469,-13600,1156,-8964,65,144,-31
1661112150.164131,-13540,1156,-8880,73,135,-42
1661112150.274893,-13580,1172,-9004,63,145,-25
1661112150.381501,-13592,1152,-8912,77,154,-24
1661112150.492249,-13476,1120,-8880,77,160,-28
1661112150.60217,-13556,1116,-8896,87,143,-46
1661112150.708558,-13548,1212,-8912,86,167,-29
1661112150.823055,-13592,1176,-8896,109,115,-39
1661112150.933767,-13528,1132,-8848,109,121,-29
1661112151.040569,-13536,1136,-8944,104,181,-39
1661112151.155436,-13568,1180,-8936,191,129,3
1661112151.266358,-13620,1072,-8944,118,126,-20
1661112151.372999,-13636,1096,-8904,78,195,3
